,name,information,totalprice,unitprice
0,帝港海湾豪园 2室2厅 423万,2室2厅 | 64.91平米 | 东北 | 简装 | 低楼层(共27层) | 2003年建 | 塔楼,4230000,65168
1,卡罗社区 2室1厅 548万,2室1厅 | 72.12平米 | 东北 | 精装 | 高楼层(共16层) | 2007年建 | 板塔结合,5480000,75985
2,天汇城 3室2厅 435万,3室2厅 | 79平米 | 东南 | 毛坯 | 低楼层(共39层) | 2017年建 | 板塔结合,4350000,55064
3,苹果园大阳台朝南一房一厅，业主急卖，看房方便,1室1厅 | 41.3平米 | 南 | 简装 | 低楼层(共17层) | 2004年建 | 板塔结合,2100000,50848
4,栖游家园复式3房，高楼层，视野好。,3室1厅 | 87.49平米 | 南 | 精装 | 中楼层(共34层) | 2014年建 | 塔楼,6000000,68580
5,星海名城一期方正大三房，安静不吵，业主诚意出售,3室2厅 | 105.52平米 | 东北 | 简装 | 低楼层(共9层) | 2001年建 | 板塔结合,7200000,68234
6,倚山三期 通风采光好 看山可看海 自住装修保养好,3室2厅 | 88.43平米 | 南 | 精装 | 高楼层(共32层) | 2015年建 | 板塔结合,4380000,49531
7,布吉石芽岭华浩源A区三房带私家车位平时不用担心车位,3室1厅 | 92.6平米 | 北 | 简装 | 中楼层(共19层) | 2008年建 | 板楼,3830000,41361
8,店长推荐本周必卖好房值得入手，华润*利好,1室1厅 | 41.47平米 | 东 北 | 精装 | 高楼层(共36层) | 2013年建 | 塔楼,1950000,47022
9,长城二花园南北向电梯直达高层业主诚心出售,3室2厅 | 105.7平米 | 南 北 | 简装 | 中楼层(共18层) | 1993年建 | 板楼,11000000,104069
10,中海北区精装大两房 看花园安静,2室2厅 | 84.13平米 | 南 北 | 精装 | 低楼层(共17层) | 2007年建 | 板塔结合,3500000,41603
11,交通方便，实用三房，满五唯一税少,3室2厅 | 79.83平米 | 西南 | 简装 | 中楼层(共12层) | 2004年建 | 塔楼,5950000,74534
12,信和自由广场 经典小两房 满五年唯一 税费少,2室1厅 | 50.27平米 | 东北 | 精装 | 中楼层(共26层) | 2006年建 | 塔楼,4380000,87130
13,深业东城国际 3室1厅 280万,3室1厅 | 80.96平米 | 南 | 精装 | 低楼层(共33层) | 2013年建 | 塔楼,2800000,34585
14,海富花园 精装两房 高楼层 居家舒适 交通便利 近地铁,2室1厅 | 72.54平米 | 东北 | 精装 | 高楼层(共32层) | 1991年建 | 板塔结合,3180000,43838
15,此房是满二，正规一房一厅，翠竹地铁，看房提前预约,1室1厅 | 41.9平米 | 南 | 简装 | 高楼层(共32层) | 2005年建 | 板塔结合,2950000,70406
16,前海东岸  三室二厅一卫  精装修 全部中 央空调,3室2厅 | 88.4平米 | 东南 | 精装 | 低楼层(共38层) | 2018年建 | 塔楼,8500000,96154
17,和兴花园  厅出阳台中装3房 户型方正 满5唯一,3室2厅 | 92.61平米 | 南 | 精装 | 中楼层(共7层) | 2002年建 | 板塔结合,3450000,37253
18,金地上塘道一期 2室1厅 410万,2室1厅 | 64.8平米 | 东南 | 精装 | 高楼层(共25层) | 2010年建 | 塔楼,4100000,63272
19,满五年 户型方正 朝南向  安静舒适 采光好,2室1厅 | 83.52平米 | 东南 | 简装 | 高楼层(共7层) | 1999年建 | 板塔结合,3800000,45499
20,这套房子正南客厅出阳台，双阳台视野好，户型 方正！,2室1厅 | 81.49平米 | 东南 | 毛坯 | 高楼层(共25层) | 2007年建 | 板楼,2300000,28225
21,楼下壹方天地，楼上你的温馨有爱之家！,3室1厅 | 78.8平米 | 西南 西 南 | 简装 | 低楼层(共49层) | 2017年建 | 板塔结合,5200000,65990
22,本大厦少有客厅带阳台，主卧有阳台 方正3房 南向采光,3室2厅 | 95.6平米 | 西南 | 精装 | 低楼层(共24层) | 1996年建 | 塔楼,5300000,55440
23,近地铁物业，满五年，红本在手看房有钥匙业主诚心出售,3室2厅 | 101.77平米 | 北 | 简装 | 中楼层(共12层) | 2002年建 | 塔楼,2750000,27022
24,高楼层 东南向 复式两房 不算一层面积 通风采光好,2室2厅 | 43.9平米 | 西北 | 简装 | 低楼层(共15层) | 2004年建 | 板塔结合,3150000,71754
25,星海名城一起方正大三房、安静看花园、业主诚心出售、,3室2厅 | 92平米 | 东北 | 精装 | 低楼层(共9层) | 2001年建 | 板塔结合,6800000,73914
26,阳光两房满五唯一本在手 交通便利 生活等配套成熟,2室1厅 | 72.44平米 | 东北 | 精装 | 中楼层(共11层) | 2005年建 | 板塔结合,2980000,41138
27,红本在手，业主性格好，诚意出售，拎包入住,2室1厅 | 47.6平米 | 西南 | 简装 | 高楼层(共32层) | 2006年建 | 板塔结合,3250000,68278
28,桃源居十一区 3室2厅 508万,3室2厅 | 85平米 | 东南 | 精装 | 低楼层(共18层) | 2008年建 | 塔楼,5080000,59765
29,公务员社区，户型通透，采光好，业主诚心卖房子,2室1厅 | 72.6平米 | 东南 | 简装 | 中楼层(共8层) | 1997年建 | 板塔结合,4200000,57852
30,海月社区顶楼复式，品牌精装，带私家花园,4室2厅 | 149.14平米 | 南 | 精装 | 高楼层(共6层) | 2002年建 | 板塔结合,16800000,112646
31,鸿翔花园精装两房 ，满两年，地铁9号线园岭C站,2室1厅 | 73.68平米 | 西南 西北 | 简装 | 中楼层(共32层) | 2006年建 | 塔楼,5400000,73290
32,满五年红本，装修保养好，看房方便，采光好，居家棒棒,1室1厅 | 45.37平米 | 西南 | 精装 | 低楼层(共31层) | 2000年建 | 板塔结合,2400000,52899
33,宝安碧海，高尔夫球场碧海湾公园边上，诚心卖！,3室2厅 | 88.01平米 | 东南 | 精装 | 低楼层(共30层) | 2012年建 | 塔楼,6000000,68175
34,地铁口物业花园小区， 满五年红本诚心出售。,3室1厅 | 80.02平米 | 南 | 简装 | 中楼层(共18层) | 2007年建 | 板楼,6500000,81230
35,精装修大两房，南北通，通风采光，好近地铁,2室1厅 | 72.79平米 | 东南 | 精装 | 中楼层(共29层) | 1999年建 | 板塔结合,2800000,38467
36,佳华领汇广场 4室2厅 585万,4室2厅 | 89.98平米 | 南 西南 | 精装 | 高楼层(共32层) | 2016年建 | 板塔结合,5850000,65015
37,此房户型方正实用，是复式房4房,4室2厅 | 88.68平米 | 东南 | 简装 | 中楼层(共22层) | 2013年建 | 板塔结合,7550000,85138
38,：彩世界家园精装修大2房，满五唯一，朝东南看马路,2室1厅 | 68.78平米 | 南 | 简装 | 高楼层(共23层) | 2002年建 | 板塔结合,3300000,47980
39,梅林关，朝北向，位置安静，视野佳，户型方正。,4室2厅 | 88.21平米 | 西北 | 精装 | 中楼层(共48层) | 2016年建 | 塔楼,6450000,73121
40,户型通透 采光好 中间位置 业主诚心出售 位置安静,2室2厅 | 79.68平米 | 东南 | 简装 | 高楼层(共7层) | 1994年建 | 板楼,3280000,41165
41,大运新城 自如精装九楼三房南向 业主自赎 方便看,3室2厅 | 89平米 | 西南 | 精装 | 低楼层(共31层) | 2015年建 | 塔楼,4500000,50562
42,自贸区前海花园三房，业主诚心出售,3室2厅 | 89.4平米 | 南 | 简装 | 低楼层(共17层) | 2004年建 | 板塔结合,5720000,63983
43,金港华庭 3室1厅 535万,3室1厅 | 86.87平米 | 东北 | 精装 | 高楼层(共31层) | 2009年建 | 板塔结合,5350000,61587
44,桃源居十二区 3室1厅 432万,3室1厅 | 92.6平米 | 西南 | 精装 | 高楼层(共8层) | 1997年建 | 塔楼,4320000,46653
45,视野无遮挡 精装3房2卫 满五唯一 欠款少 业主诚心度高,3室2厅 | 88.41平米 | 西 | 精装 | 低楼层(共30层) | 2014年建 | 板塔结合,3250000,36761
46,房子户型方正，采光好，空气通透，满五唯一,2室1厅 | 76.56平米 | 北 | 精装 | 低楼层(共31层) | 1999年建 | 板塔结合,2650000,34614
47,精装修 高楼层 一房一厅 东南朝向 急售,1室1厅 | 42.44平米 | 南 | 精装 | 高楼层(共34层) | 2016年建 | 板塔结合,1070000,25213
48,御景台雅园4房2卫 地铁口物业 东南向 业主诚心出售,4室1厅 | 87.08平米 | 东南 | 精装 | 低楼层(共28层) | 2015年建 | 板塔结合,3910000,44902
49,房子满五，业主自己住，业主诚心卖,2室1厅 | 78.25平米 | 南 | 精装 | 高楼层(共24层) | 2009年建 | 板塔结合,7450000,95208
50,信和自由广场 3室1厅 710万,3室1厅 | 92.84平米 | 西北 | 简装 | 高楼层(共24层) | 2006年建 | 塔楼,7100000,76476
51,双阳台 精装电梯两房，刚需过度,2室2厅 | 56.76平米 | 东北 | 精装 | 高楼层(共17层) | 2010年建 | 板塔结合,3600000,63425
52,诺德3栋06户型，陆房贰卫，业主换房急卖,5室1厅 | 111.36平米 | 西南 | 精装 | 低楼层(共33层) | 2008年建 | 塔楼,12000000,107759
53,前海宝中大社区高楼层地铁口南北向三房,3室1厅 | 122.45平米 | 东南 | 精装 | 高楼层(共15层) | 2005年建 | 塔楼,10000000,81666
54,满两年，一年前婚房精装修，带车位，做到拎包入住！,3室1厅 | 99.69平米 | 南 | 精装 | 低楼层(共17层) | 2002年建 | 板塔结合,8900000,89277
55,百合星城二期 4室1厅 568万,4室1厅 | 120.11平米 | 南 | 简装 | 中楼层(共33层) | 2006年建 | 板塔结合,5680000,47290
56,住家装修，精装自住，看花园看泳池。,6室2厅 | 89.11平米 | 西南 | 简装 | 高楼层(共30层) | 2011年建 | 板塔结合,7800000,87533
57,精装修位置安静通风采光好视野开阔,4室2厅 | 122.4平米 | 东南 | 精装 | 高楼层(共31层) | 2013年建 | 塔楼,7200000,58824
58,心海城百万大盘，地#铁口#物业，城市心脏地.,3室2厅 | 80.75平米 | 东南 | 毛坯 | 中楼层(共31层)  | 板塔结合,2850000,35295
59,金石雅苑中间楼层方正大三房 满五唯一 红本在手,3室2厅 | 106.56平米 | 南 | 简装 | 中楼层(共18层) | 2005年建 | 板塔结合,4400000,41292
60,满五唯一 少量欠款 3+1四房错层采光通风好 新腾讯旁,3室2厅 | 78平米 | 西南 | 精装 | 高楼层(共14层) | 2000年建 | 塔楼,6700000,85898
61,业主诚心出售，双地铁物业，中楼层，满2年税费少,3室2厅 | 85.78平米 | 南 | 精装 | 低楼层(共38层) | 2017年建 | 板塔结合,5200000,60621
62,园林式小区  欧式精装3房 业主自住 看房方便,3室2厅 | 96.07平米 | 西 | 精装 | 中楼层(共13层) | 2004年建 | 板塔结合,6400000,66619
63,房子满五年，看房方便，链家有钥匙，业主诚心卖,2室0厅 | 42.17平米 | 东北 | 精装 | 中楼层(共32层) | 2011年建 | 塔楼,3100000,73512
64,满五唯一，装修保养良好，全景花园中间楼栋位置安静,3室1厅 | 89.29平米 | 南 | 精装 | 低楼层(共32层) | 2015年建 | 板楼,5860000,65629
65,全新装修，可以拎包入住，满五唯一，诚心出售,1室1厅 | 41.19平米 | 北 | 精装 | 高楼层(共7层) | 1999年建 | 板塔结合,2520000,61180
66,壹城超靓好房！只为有缘的你~品质装修 超棒视野,3室2厅 | 75.51平米 | 南 | 精装 | 高楼层(共52层) | 2017年建 | 塔楼,5580000,73898
67,大两房两厅。业主自住看房随时方便。,2室2厅 | 80.73平米 | 东南 | 精装 | 低楼层(共16层) | 2009年建 | 板塔结合,7500000,92903
68,和BAT为邻 择一城 享一市繁华 望万家灯火绝美两房在售,2室1厅 | 60.84平米 | 南 西南 | 简装 | 高楼层(共32层) | 2007年建 | 塔楼,5400000,88758
69,通透格局，侧出阳台，安静看花园,3室1厅 | 125.11平米 | 南 | 精装 | 中楼层(共11层) | 2009年建 | 板塔结合,6900000,55152
70,凯丰花园二期 精装小户型，户型好，总价低。,1室0厅 | 29.46平米 | 北 | 精装 | 高楼层(共18层) | 2006年建 | 板塔结合,2070000,70265
71,嘉御山次新房 朝向好 看花园 安静四房 装修保养好,4室1厅 | 85.36平米 | 东北 | 精装 | 中楼层(共28层) | 2013年建 | 板塔结合,6650000,77906
72,房子是满5年唯一！住家装修保养好！,4室2厅 | 80.33平米 | 东南 | 精装 | 高楼层(共12层) | 2011年建 | 板塔结合,6000000,74692
73,满2年，高层东向，精装修5房。,5室1厅 | 73.95平米 | 东 | 精装 | 中楼层(共27层) | 2003年建 | 板塔结合,3800000,51387
74,中加名园 朝南看花园住家安静三房出售,3室1厅 | 73.55平米 | 南 | 精装 | 低楼层(共7层) | 2005年建 | 板塔结合,3250000,44188
75,地铁口*迁物业，户型方正格局好，业主诚心出售,2室1厅 | 69平米 | 东南 | 简装 | 低楼层(共7层) | 1993年建 | 板塔结合,3400000,49276
76,万福人家地铁口物业满五唯一少量欠款,3室1厅 | 98.11平米 | 东南 | 精装 | 高楼层(共11层) | 2001年建 | 板塔结合,4200000,42810
77,大单间 满5唯一红本在手 150万,1室0厅 | 34.46平米 | 南 | 简装 | 中楼层(共7层) | 1997年建 | 板楼,1500000,43529
78,金地上塘道一期 2室1厅 360万,2室1厅 | 65.11平米 | 东北 | 简装 | 中楼层(共25层) | 2010年建 | 塔楼,3600000,55292
