,PhoneID,battery,year,month,brand,model,weight,CPU model,CPU freq,CPU cores,SIM cards,ROM,RAM,screen size,resolution,screen material,front camera,rear camera,rear camera specs,charging port,price,comments
0,1.00E+11,,,,,荣耀8X,,,,,,,,,,,,,,,1098,2130000
1,1.00E+11,以官网信息为准,2018年,10月,Apple,iPhone XR,194,其他,,,2个,,,6.1英寸,1792×828,LCD,,后置单摄,,Lightning（iPhone）,4999,2130000
2,5089275,以官网信息为准,2017年,9月,Apple,iPhone 8 Plus,202,其他,,,1个,,,5.5英寸,1920×1080,LCD,,后置双摄,,Lightning（iPhone）,4199,2010000
3,5089267,,,,,iPhone 8,,,,,,,,,,,,,,,3299,1530000
4,1.00E+11,3400mAh（典型值）,2018年,11月,HUAWEI,荣耀10青春版,约162克（含电池）备注：实际重量依配置、制造工艺、测量方法的不同可能有所差异。,Hisilicon Kirin 710*,,,2个,,,6.21英寸,FHD+ 1080x2340 像素,IPS,,后置双摄,,Micro USB,899,1260000
5,1.00E+11,以官网信息为准,2018年,9月,Apple,iPhone XS Max,208,其他,,,2个,,,6.5英寸,2688×1242,OLED,,后置双摄,,Lightning（iPhone）,7199,1160000
6,3133857,,,,,iPhone 7 Plus,,,,,,,,,,,,,,,3599,1100000
7,3133827,以官网信息为准,2016年,9月,Apple,iphone 7,138,其他,,,1个,,,4.7英寸,以官网信息为准,其他,,其他,,Lightning（iPhone）,2899,1070000
8,1.00E+11,4000mAh（typ）/3900mAh（min）,2019年,1月,XIAOMI,红米Redmi Note7 AI双摄 6GB+64GB 亮黑色 全网通4G 双卡双待 水滴全面屏拍照游戏智能手机,186,骁龙660（MSM8976Plus）,,,2个,,,6.3英寸,2340*1080,其他,,后置双摄,,Type-C,999,1010000
9,1.00E+11,以官网信息为准,2019年,9月,Apple,iPhone 11,194,A13仿生,,,2个,,,6.1英寸,1792 x 828,LCD,,后置双摄,,Lightning（iPhone）,5999,940000
10,1.00E+11,4000mAh（典型值）,2019年,7月,HUAWEI,荣耀9X,206g 备注：实际重量依配置、制造工艺、测量方法的不同可能有所差异。,Hisilicon Kirin 810,,,2个,,,6.59英寸,1080*2340,LTPS,,后置双摄,,Type-C,1299,840000
11,7651903,3000mAh（typ）/2900mAh（min）,2018年,6月,XIAOMI,红米6,146,Helio P22,以官网信息为准,八核,2个,32GB,3GB,5.45英寸,1440*720,其他,其他,2个,1200+500万像素,Micro USB,649,820000
12,1.00E+11,3400mAh（典型值） 3320mAh（最小值）,2019年,4月,HUAWEI,荣耀20i,约164克（含电池） 备注：实际重量依配置、制造工艺、测量方法的不同可能有所差异。,HUAWEI Kirin 710F,,,2个,,,6.21英寸,FHD+ 1080x2340 像素,IPS,,后置三摄,,Micro USB,999,730000
13,1.00E+11,3750mAh（典型值）,2019年,6月,HUAWEI,荣耀20,约174g（备注：受产品配置和制造工艺影响，实际机身重量或有差异，请以实物为准）,HUAWEI Kirin 980,,,2个,,,6.26英寸,FHD+ 2340×1080像素,TFT LCD（IPS）,,后置四摄,,Type-C,2099,720000
14,1.00E+11,800mAh,2019年,9月,NOKIA,诺基亚 105 新,74,其他,,,1个,,,1.8英寸,180*120,TFT,,无后置摄像头,,Micro USB,149,580000
15,1.00E+11,,,,,,,,,,,,,,,,,,,,3688,620000
16,1.00E+11,4000mAh(典型值）,2018年,10月,HUAWEI,畅享9Plus,约173g(含电池),麒麟710F,,,2个,,,6.5英寸,FHD+ 1080x2340 像素,TFT,,后置双摄,,Micro USB,999,610000
17,1.00E+11,4200mAh（典型值）,2019年,4月,HUAWEI,P30 Pro,192,麒麟980,,,2个,,,6.47英寸,FHD+ 2340*1080 像素（备注：该分辨率对应标准矩形，实际屏幕采用圆角和珍珠屏设计，有效像素略少。）,OLED,,后置四摄,,Type-C,4488,560000
18,3889169,1050,2017年,1月,,E106,74.2,其他,,,2个,,,其他英寸,240x320以下,其他,,无后置摄像头,,Micro USB,99,510000
19,1.00E+11,4000mAh（typ）/3900mAh（min）,2019年,3月,XIAOMI,小米 红米Redmi Note7Pro AI双摄 6GB+128GB 亮黑色 全网通4G 双卡双待 水滴屏拍照游戏手机,186,骁龙675,,,2个,,,6.3英寸,2340×1080,LCD,,后置双摄,,Type-C,1119,500000
20,1.00E+11,3300mAh(typ) / 3200mAh (min)  ,2019年,8月,,小米9,173g,骁龙855,,,2个,,,6.39 英寸,2340*1080,AMOLED,,后置三摄,,Type-C,2699,470000
21,1.00E+11,4000mAh（典型值）,2019年,4月,HUAWEI,畅享 9,168,骁龙450,,,2个,,,6.26英寸,HD+ 1520x720 像素,TFT,,后置双摄,,Micro USB,999,450000
22,1.00E+11,4000mAh（典型值）,2018年,10月,HUAWEI,HUAWEI Mate 20,约188克（含电池）,麒麟980,,,2个,,,6.53英寸,FHD+ 1080 x 2244 像素,TFT LCD（IPS）,,后置三摄,,Type-C,3199,440000
23,1.00E+11,5000,2019年,5月,vivo,Z5x,204.1,骁龙710,,,2个,,,6.53英寸,2340*1080,LCD,,后置三摄,,Micro USB,1398,430000
24,1.00E+11,4000mAh（typ）/3900mAh（min）,2019年,3月,XIAOMI,小米 Redmi 7 AI双摄 4GB+64GB 亮黑色 全网通4G 双卡双待 水滴全面屏拍照游戏智能手机,180,骁龙632,,,2个,,,6.26英寸,1520 x 720,其他,,后置双摄,,Micro USB,799,400000
25,1.00E+11,3020mAh（典型值）,2019年,1月,HUAWEI,荣耀畅玩8A,约150克（含电池） 备注：实际重量依配置、制造工艺、测量方法的不同可能有所差异。,Mediatek MT6765（联发科Helio P35）,,,2个,,,6.088英寸,HD+  1560x720 像素,IPS,,后置单摄,,Micro USB,599,400000
26,1.00E+11,以官网信息为准,2018年,9月,Apple,iPhone XS,177,其他,,,1个,,,5.8英寸,2436×1125,OLED,,后置双摄,,Lightning（iPhone）,5399,390000
27,1.00E+11,5000mAh（典型值） 4900mAh（最小值）,2018年,9月,HUAWEI,荣耀8X Max,约210克（含电池）备注：实际重量依配置、制造工艺、测量方法的不同可能有所差异。,骁龙660（MSM8976Plus）,,,2个,,,7.12（英寸）,FHD+ 1080x2244 像素,IPS,,后置双摄,,Micro USB,999,390000
28,1.00E+11,4000,2019年,5月,,一加7 Pro,206,骁龙855,,,2个,,,6.67英寸,3120×1440,AMOLED,,后置三摄,,Type-C,3869,370000
29,1.00E+11,4200mAh（典型值）,2019年,1月,HUAWEI,HUAWEI Mate 20 Pro,约189克（含电池）,麒麟980,,,2个,,,6.39 英寸,2k+，1440 x 3120 像素,OLED,,后置三摄,,Type-C,3999,360000
30,5204046,800,2018年,6月,K-Touch,T2,76.5,其他,,,2个,,,2.4英寸,240*320,TFT,,后置单摄,,Micro USB,89,420000
31,1.00E+11,,,,,,,,,,,,,,,,,,,,1099,360000
32,7421462,,,,,,,,,,,,,,,,,,,,499,350000
33,1.00E+11,4000mAh（typ）*3900mAh（min）,2019年,8月,,Redmi Note8,190,骁龙665,,,2个,,,6.3英寸,2340*1080 FHD+,其他,,后置四摄,,Type-C,899,350000
34,7437714,4500mAh（typ）,2019年,8月,,Redmi Note8 Pro,199.8,Helio G90T,,,2个,,,6.53英寸,2340*1080 FHD+,其他,,后置四摄,,Type-C,1399,350000
35,1.00E+11,,,,,,,,,,,,,,,,,,,,2499,330000
36,6305258,1400,2018年,1月,Philips,飞利浦 E171L,111.5,其他,,,2个,,,2.4英寸,320×240,TFT,,后置单摄,,Micro USB,168,320000
37,1.00E+11,3340mAh（典型值）,2019年,3月,HUAWEI,nova 4e,约159克（含电池）,麒麟710,,,2个,,,6.15英寸,FHD 2312×1080像素,LTPS,,后置三摄,,Type-C,1299,270000
38,7437690,4030mAh,2019年,7月,XIAOMI,小米 CC 9e屏幕指纹 3200万美颜自拍 4800万超广角三摄 6GB+64GB 深蓝星球 全网通 水滴全面屏游戏拍照手机,173.8,骁龙665,,,2个,,,6.088英寸,1560 x 720,AMOLED,,后置三摄,,Type-C,999,270000
39,1.00E+11,3765,2019年,5月,realme,realme X,191,骁龙710,,,2个,,,6.53英寸,2340*1080,AMOLED,,后置双摄,,Type-C,1699,250000
40,8184522,1050mAh,2018年,7月,Philips,E163K,83,其他,,,2个,,,1.77英寸,240x320以下,TFT,,后置单摄,,Micro USB,119,250000
41,8441388,3640（典型值）,2018年,8月,MEIZU,魅族 16th Plus ,182,骁龙845（SDM845）,,,2个,,,6.5英寸,2160 x 1080,Super Amoled,,后置双摄,,Type-C,1898,240000
42,8058010,5000mAh（典型值） 4900mAh（额定值）,2018年,8月,HUAWEI,荣耀Note10,约230克（含电池） 备注：实际重量依配置、制造工艺、测量方法的不同可能有所差异。,麒麟970,,,2个,,,6.95英寸,FHD+ 1080x2220 像素,AMOLED,,后置双摄,,Type-C,1399,230000
43,1.00E+11,4500,2019年,7月,vivo,Z5,187,骁龙712,,,2个,,,6.38英寸,2340x1080,AMOLED,,后置三摄,,Type-C,1648,220000
44,1.00E+11,,,,,,,,,,,,,,,,,,,,699,220000
45,1.00E+11,3750mAh（典型值）,2019年,9月,HUAWEI,荣耀20S,约172克（含电池） （备注：受产品配置和制造工艺影响，实际机身重量或有差异，请以实物为准）,HUAWEI Kirin 810 （麒麟810）,,,2个,,,6.26英寸,FHD+ 2340×1080像素,TFT LCD（IPS）,,后置三摄,,Type-C,1499,230000
46,1.00E+11,4000,2019年,3月,vivo,iQOO,196,骁龙855,,,2个,,,6.41英寸,2340×1080,AMOLED,,后置三摄,,Type-C,2098,210000
47,1.00E+11,3700,2019年,6月,,一加7,183.2,骁龙855,,,2个,,,6.4英寸,2340 x 1080 pixels ,AMOLED,,后置双摄,,Type-C,2999,210000
48,1.00E+11,4500mAh（典型值）,2019年,11月,,HUAWEI Mate 30 Pro 5G,约198克（含电池） 备注：实际重量依配置、制造工艺、测量方法的不同可能有所差异。,HUAWEI Kirin 990 5G(麒麟990 5G),,,2个,,,6.53英寸,FHD+ 2400×1176 像素,OLED,,后置四摄,,Type-C,6899,210000
49,1.00E+11,5000mAh（typ）*,2019年,10月,,Redmi 8A,188,骁龙439（SDM439）,,,2个,,,其他英寸,1520*720,其他,,后置单摄,,Type-C,699,210000
50,8457423,5500mAh（typ）/ 5400mAh (min),2018年,7月,XIAOMI,小米Max3 大屏游戏智能手机 6GB+128GB 金色 全网通4G手机 双卡双待,221,骁龙636,,,2个,,,6.9,2160x1080,LCD,,后置双摄,,Type-C,1299,200000
51,1.00E+11,4000mAh（典型值）,2019年,6月,HUAWEI,荣耀20 PRO,182g（备注：受产品配置和制造工艺影响，实际机身重量或有差异，请以实物为准）,HUAWEI Kirin 980 ,,,2个,,,6.26英寸,FHD+ 2340×1080像素,TFT LCD（IPS）,,后置四摄,,Type-C,2699,180000
52,8717360,1050,2018年,8月,Philips,E258S,99,其他,,,2个,,,2.4英寸,240*320,TFT,,后置单摄,,Micro USB,165,180000
53,1.00E+11,4000mAh（typ）/3900mAh（min）,2019年,5月,XIAOMI,Redmi 7A,165,骁龙439（SDM439）,,,2个,,,5.45英寸,1440×720,LCD,,后置单摄,,Micro USB,549,180000
54,11481305161,4000,2016年,5月,,EN3,185,,,,2个,,,,,其他,,,,其它接口,99,170000
55,1.00E+11,以官网信息为准,2019年,9月,,iPhone 11 Pro,188,A13 仿生,,,2个,,,5.8英寸,2436 x 1125,OLED,,后置三摄,,Lightning（iPhone）,9999,160000
56,1.00E+11,4000,2019年,11月,HUAWEI,nova 5z,约178g,麒麟810,,,2个,,,6.26英寸,2340 * 1080,LTPS,,后置四摄,,Type-C,1599,160000
57,6380419,4000,2018年,以官网信息为准,K-Touch,K-Touch Q3(Q31),97,其他,,,2个,,,2.4英寸,240*320,TFT,,后置单摄,,Micro USB,118,150000
58,1.00E+11,4200mAh（典型值） 备注：电池额定容量为4100mAh,2019年,11月,,HUAWEI Mate 30 5G,196克（含电池） 备注：实际重量依配置、制造工艺、测量方法的不同可能有所差异。,麒麟990,,,2个,,,6.62英寸 备注：显示屏采用圆角设计，按照标准矩形测量时，屏幕的对角线长度是6.62英寸（实际可视区域略小）,FHD+ 2340×1080 像素 （备注：该分辨率对应标准矩形，实际屏幕有效像素略少。）,OLED,,后置三摄,,Type-C,4999,150000
59,1.00E+11,,,,,,,,,,,,,,,,,,,,3999,140000
60,1.00E+11,,,,,,,,,,,,,,,,,,,,1999,140000
61,1.00E+11,4200mAh（典型值） 备注：电池额定容量为4100mAh,2019年,9月,HUAWEI,HUAWEI Mate 30,196克（含电池） 备注：实际重量依配置、制造工艺、测量方法的不同可能有所差异。,麒麟990,,,2个,,,6.62英寸 备注：显示屏采用圆角设计，按照标准矩形测量时，屏幕的对角线长度是6.62英寸（实际可视区域略小）,FHD+ 2340×1080 像素 （备注：该分辨率对应标准矩形，实际屏幕有效像素略少。）,OLED,,后置三摄,,Type-C,4299,140000
62,1.00E+11,以官网信息为准,2019年,9月,,Apple iPhone 11 Pro Max,226,其他,,,2个,,,6.5英寸,2688×1242,OLED,,后置三摄,,Lightning（iPhone）,10899,150000
63,1.00E+11,4000mAh（典型值） 3900mAh（最小值）,2019年,9月,HUAWEI,荣耀Play3,176g  （备注：受产品配置和制造工艺影响，实际机身重量或有差异，请以实物为准）,HUAWEI Kirin 710F,,,2个,,,6.39英寸,1560x720,TFT LCD（IPS）,,后置三摄,,Micro USB,899,140000
64,1.00E+11,1700,2019年,3月,Philips,E319,112,其他,,,2个,,,2.8英寸,240X320,TFT,,后置单摄,,Micro USB,199,140000
65,5980401,5200,2017年,10月,,F888,198,MT6261D,,,2个,,,2.4英寸,240*320,TFT,,后置单摄,,Micro USB,178,140000
66,1.00E+11,5000mAh（典型值）,2018年,10月,HUAWEI,华为畅享MAX ,约210克（含电池）,骁龙660（MSM8976Plus）,,,2个,,,7.12英寸,FHD+ 1080x2244 像素,TFT,,后置双摄,,Micro USB,1249,140000
67,1.00E+11,4000,2019年,9月,HUAWEI,华为畅享 10Plus,约196.8g,麒麟710F,,,2个,,,6.59英寸,2340 * 1080,LTPS,,后置三摄,,Type-C,1299,140000
68,2699502,,,,,,,,,,,,,,,,,,,,188,130000
69,5097658,1400,2017年,5月,,L580,105,其他,,,1个,,,2.4英寸,240*320,TFT,,后置单摄,,Micro USB,219,130000
70,1.00E+11,4500,2019年,7月,vivo,iQOO Neo,198.5,骁龙845（SDM845）,,,2个,,,6.38英寸,2340×1080,AMOLED,,后置三摄,,Type-C,2098,130000
71,1.00E+11,3210,2018年,10月,MEIZU,魅族 X8,160,710,,,2个,,,6.2英寸,2220 x 1080,LCD,,后置双摄,,Type-C,799,130000
72,1.00E+11,,,,,,,,,,,,,,,,,,,,1599,120000
73,1.00E+11,4000mAh（典型值）,2018年,10月,HUAWEI,,约188克（含电池）,麒麟980,2×Cortex A76 2.6GHz+ 2×Cortex A76 1.92GHz  + 4×Cortex A55 1.8GHz ,八核,2个,128GB,6GB,6.53英寸,2244*1080,TFT,2400万像素,3个,1600万像素+1200万像素+800万像素,Type-C,3999,120000
74,1.00E+11,4500,2019年,8月,vivo,iQOO Pro,217,骁龙855plus,,,2个,,,6.41英寸,2340x1080,AMOLED,,后置三摄,,Type-C,3798,120000
75,1.00E+11,4000mAh(typ),2019年,3月,,黑鲨游戏手机2,205,骁龙855,,,2个,,,6.39英寸,2340*1080,AMOLED,,后置双摄,,Type-C,2499,110000
76,3718259,1300mAh,2017年,5月,,L660,110,其他,,,2个,,,2.4英寸,240*320,TFT,,后置单摄,,Mini USB,199,110000
77,1.00E+11,4000,2019年,3月,vivo,X27,188.3,骁龙675,,,2个,,,6.39 英寸,2340x1080,AMOLED,,后置三摄,,Type-C,2498,100000
78,7437712,4030mAh,2019年,7月,XIAOMI,小米CC9美图版,179,骁龙710,,,2个,,,6.39 英寸,2340*1080,AMOLED,,后置三摄,,Type-C,1999,100000
79,4893361,1020,2017年,8月,NOKIA,Nokia 130,74,其他,,,2个,,,1.8英寸,128x160,其他,,后置单摄,,Micro USB,169,99000
80,6069878,,,,,,,,,,,,,,,,,,,,69,98000
81,10466312957,1000,2018年,6月,ZTE,中兴K2,105,其他,,,1个,,,其他英寸,596118,其他,,后置单摄,,Mini USB,188,97000
82,5179864,1200,2017年,6月,NOKIA,Nokia 3310,82,其他,,,2个,,,2.4英寸,240x320,其他,,后置单摄,,Micro USB,349,94000
83,1.00E+11,3765,2019年,5月,realme,realme X,191,骁龙710,,,2个,,,6.53英寸,2340*1080,AMOLED,,后置双摄,,Type-C,1869,94000
84,1.00E+11,4035,2019年,9月,realme,realme Q,184,骁龙712,,,2个,,,6.3英寸,2340×1080,LTPS,,后置四摄,,Type-C,1298,94000
