,index,title,price,comments
0,1,荣耀8X,1098.0,2130000
1,2,iPhone XR,4999.0,2130000
2,3,iPhone 8 Plus,4199.0,2010000
3,4,iPhone 8,3299.0,1530000
4,5,荣耀10青春版,899.0,1260000
5,6,iPhone XS Max,7199.0,1160000
6,7,iPhone 7 Plus,3599.0,1100000
7,8,iphone 7,2899.0,1070000
8,9,红米Redmi Note7 AI双摄 6GB+64GB 亮黑色 全网通4G 双卡双待 水滴全面屏拍照游戏智能手机,999.0,1010000
9,10,iPhone 11,5999.0,940000
10,11,荣耀9X,1299.0,840000
11,12,红米6,649.0,820000
12,13,荣耀20i,999.0,730000
13,14,荣耀20,2099.0,720000
14,15,诺基亚 105 新,149.0,580000
16,17,畅享9Plus,999.0,610000
17,18,P30 Pro,4488.0,560000
18,19,E106,99.0,510000
19,20,小米 红米Redmi Note7Pro AI双摄 6GB+128GB 亮黑色 全网通4G 双卡双待 水滴屏拍照游戏手机,1119.0,500000
20,21,小米9,2699.0,470000
21,22,畅享 9,999.0,450000
22,23,HUAWEI Mate 20,3199.0,440000
23,24,Z5x,1398.0,430000
24,25,小米 Redmi 7 AI双摄 4GB+64GB 亮黑色 全网通4G 双卡双待 水滴全面屏拍照游戏智能手机,799.0,400000
25,26,荣耀畅玩8A,599.0,400000
26,27,iPhone XS,5399.0,390000
27,28,荣耀8X Max,999.0,390000
28,29,一加7 Pro,3869.0,370000
29,30,HUAWEI Mate 20 Pro,3999.0,360000
30,31,T2,89.0,420000
33,34,Redmi Note8,899.0,350000
34,35,Redmi Note8 Pro,1399.0,350000
36,37,飞利浦 E171L,168.0,320000
37,38,nova 4e,1299.0,270000
38,39,小米 CC 9e屏幕指纹 3200万美颜自拍 4800万超广角三摄 6GB+64GB 深蓝星球 全网通 水滴全面屏游戏拍照手机,999.0,270000
39,40,realme X,1699.0,250000
40,41,E163K,119.0,250000
41,42,魅族 16th Plus ,1898.0,240000
42,43,荣耀Note10,1399.0,230000
43,44,Z5,1648.0,220000
45,46,荣耀20S,1499.0,230000
46,47,iQOO,2098.0,210000
47,48,一加7,2999.0,210000
48,49,HUAWEI Mate 30 Pro 5G,6899.0,210000
49,50,Redmi 8A,699.0,210000
50,51,小米Max3 大屏游戏智能手机 6GB+128GB 金色 全网通4G手机 双卡双待,1299.0,200000
51,52,荣耀20 PRO,2699.0,180000
52,53,E258S,165.0,180000
53,54,Redmi 7A,549.0,180000
54,55,EN3,99.0,170000
