,0,1,2
0,100001270059,['1098.00'],213万+
1,100000177760,['4999.00'],213万+
2,5089275,['4199.00'],201万+
3,5089267,['3299.00'],153万+
4,100001550349,['899.00'],126万+
5,100000287117,['7199.00'],116万+
6,3133857,['3599.00'],110万+
7,3133827,['2899.00'],107万+
8,100002852988,['999.00'],101万+
9,100008348542,['5999.00'],94万+
10,100006947212,['1299.00'],84万+
11,7651903,['649.00'],82万+
12,100003060627,['999.00'],73万+
13,100005603522,['2099.00'],72万+
14,100008492072,['149.00'],58万+
15,100002749549,['3688.00'],62万+
16,100000766449,['999.00'],61万+
17,100004323294,['4488.00'],56万+
18,3889169,['99.00'],51万+
19,100004169706,['1119.00'],50万+
20,100007403110,['2699.00'],47万+
21,100005160060,['999.00'],45万+
22,100000822981,['3199.00'],44万+
23,100005787046,['1398.00'],43万+
24,100004169690,['799.00'],40万+
25,100002727554,['599.00'],40万+
26,100000177748,['5399.00'],39万+
27,100000730054,['999.00'],39万+
28,100005502446,['3869.00'],37万+
29,100001975099,['3999.00'],36万+
30,5204046,['89.00'],42万+
31,100005088702,['1099.00'],36万+
32,7421462,['499.00'],35万+
33,100007958784,['899.00'],35万+
34,7437714,['1399.00'],35万+
35,100003717479,['2499.00'],33万+
36,6305258,['168.00'],32万+
37,100003884564,['1299.00'],27万+
38,7437690,['999.00'],27万+
39,100003242371,['1699.00'],25万+
40,8184522,['119.00'],25万+
41,8441388,['1898.00'],24万+
42,8058010,['1399.00'],23万+
43,100004138065,['1648.00'],22万+
44,100002599198,['699.00'],22万+
45,100007926790,['1499.00'],23万+
46,100003666128,['2098.00'],21万+
47,100003464635,['2999.00'],21万+
48,100009177374,['6899.00'],21万+
49,100009082466,['699.00'],21万+
50,8457423,['1299.00'],20万+
51,100004036237,['2699.00'],18万+
52,8717360,['165.00'],18万+
53,100003582687,['549.00'],18万+
54,11481305161,['99.00'],17万+
55,100004770257,['9999.00'],16万+
56,100005769525,['1599.00'],16万+
57,6380419,['118.00'],15万+
58,100009177424,['4999.00'],15万+
59,100006601174,['3999.00'],14万+
60,100003774679,['1999.00'],14万+
61,100008384346,['4299.00'],14万+
62,100008348548,['10899.00'],15万+
63,100008031684,['899.00'],14万+
64,100004542248,['199.00'],14万+
65,5980401,['178.00'],14万+
66,100009639486,['1249.00'],14万+
67,100008031596,['1299.00'],14万+
68,2699502,['188.00'],13万+
69,5097658,['219.00'],13万+
70,100006386658,['2098.00'],13万+
71,100000827661,['799.00'],13万+
72,100004049987,['1599.00'],12万+
73,100001055588,['3999.00'],12万+
74,100004401679,['3798.00'],12万+
75,100002493099,['2499.00'],11万+
76,3718259,['199.00'],11万+
77,100002775377,['2498.00'],10万+
78,7437712,['1999.00'],10万+
79,4893361,['169.00'],9.9万+
80,6069878,['69.00'],9.8万+
81,10466312957,['188.00'],9.7万+
82,5179864,['349.00'],9.4万+
83,100005745784,['1869.00'],9.4万+
84,100005223587,['1298.00'],9.4万+
85,100008643298,['1799.00'],9.9万+
86,100004472604,['5487.00'],9.1万+
87,100009165080,['2298.00'],9.4万+
88,100008643328,['2999.00'],9.2万+
89,8348845,['399.00'],9万+
90,100010847198,['1599.00'],9.4万+
91,100004791691,['999.00'],9万+
92,100004472588,['5487.00'],8.8万+
93,100005476691,['4988.00'],8.8万+
94,100000400130,['999.00'],8.8万+
95,6425153,['168.00'],8.6万+
96,100005297794,['1199.00'],8.5万+
97,100008350550,['1899.00'],8.6万+
98,100009635426,['2999.00'],8.3万+
99,5204048,['138.00'],8.2万+
100,100006126562,['299.00'],8.2万+
101,3057956,['168.00'],8万+
102,100010984594,['699.00'],8.3万+
103,100005150846,['2399.00'],7.9万+
104,100000322417,['282.00'],7.8万+
105,100006828852,['1799.00'],7.6万+
106,100000469444,['9098.00'],7.5万+
107,100004542252,['199.00'],7.4万+
108,100006092211,['899.00'],7.4万+
