index,title,price,comments
1,荣耀8X,1098,2130000
2,iPhone XR,4999,2130000
3,iPhone 8 Plus,4199,2010000
4,iPhone 8,3299,1530000
5,荣耀10青春版,899,1260000
6,iPhone XS Max,7199,1160000
7,iPhone 7 Plus,3599,1100000
8,iphone 7,2899,1070000
9,红米Redmi Note7 AI双摄 6GB+64GB 亮黑色 全网通4G 双卡双待 水滴全面屏拍照游戏智能手机,999,1010000
10,iPhone 11,5999,940000
11,荣耀9X,1299,840000
12,红米6,649,820000
13,荣耀20i,999,730000
14,荣耀20,2099,720000
15,诺基亚 105 新,149,580000
16,,3688,620000
17,畅享9Plus,999,610000
18,P30 Pro,4488,560000
19,E106,99,510000
20,小米 红米Redmi Note7Pro AI双摄 6GB+128GB 亮黑色 全网通4G 双卡双待 水滴屏拍照游戏手机,1119,500000
21,小米9,2699,470000
22,畅享 9,999,450000
23,HUAWEI Mate 20,3199,440000
24,Z5x,1398,430000
25,小米 Redmi 7 AI双摄 4GB+64GB 亮黑色 全网通4G 双卡双待 水滴全面屏拍照游戏智能手机,799,400000
26,荣耀畅玩8A,599,400000
27,iPhone XS,5399,390000
28,荣耀8X Max,999,390000
29,一加7 Pro,3869,370000
30,HUAWEI Mate 20 Pro,3999,360000
31,T2,89,420000
32,,1099,360000
33,,499,350000
34,Redmi Note8,899,350000
35,Redmi Note8 Pro,1399,350000
36,,2499,330000
37,飞利浦 E171L,168,320000
38,nova 4e,1299,270000
39,小米 CC 9e屏幕指纹 3200万美颜自拍 4800万超广角三摄 6GB+64GB 深蓝星球 全网通 水滴全面屏游戏拍照手机,999,270000
40,realme X,1699,250000
41,E163K,119,250000
42,魅族 16th Plus ,1898,240000
43,荣耀Note10,1399,230000
44,Z5,1648,220000
45,,699,220000
46,荣耀20S,1499,230000
47,iQOO,2098,210000
48,一加7,2999,210000
49,HUAWEI Mate 30 Pro 5G,6899,210000
50,Redmi 8A,699,210000
51,小米Max3 大屏游戏智能手机 6GB+128GB 金色 全网通4G手机 双卡双待,1299,200000
52,荣耀20 PRO,2699,180000
53,E258S,165,180000
54,Redmi 7A,549,180000
55,EN3,99,170000
56,iPhone 11 Pro,9999,160000
57,nova 5z,1599,160000
58,K-Touch Q3(Q31),118,150000
59,HUAWEI Mate 30 5G,4999,150000
60,,3999,140000
61,,1999,140000
62,HUAWEI Mate 30,4299,140000
63,Apple iPhone 11 Pro Max,10899,150000
64,荣耀Play3,899,140000
65,E319,199,140000
66,F888,178,140000
67,华为畅享MAX ,1249,140000
68,华为畅享 10Plus,1299,140000
69,,188,130000
70,L580,219,130000
71,iQOO Neo,2098,130000
72,魅族 X8,799,130000
73,,1599,120000
74,,3999,120000
75,iQOO Pro,3798,120000
76,黑鲨游戏手机2,2499,110000
77,L660,199,110000
78,X27,2498,100000
79,小米CC9美图版,1999,100000
80,Nokia 130,169,99000
81,,69,98000
82,中兴K2,188,97000
83,Nokia 3310,349,94000
84,realme X,1869,94000
85,realme Q,1298,94000
86,OPPO K5,1799,99000
87,,5487,91000
88,iQOO Neo 855版,2298,94000
89,OPPO Reno Ace,2999,92000
90,Nokia 8110,399,90000
91,荣耀20S,1599,94000
92,V1928A,999,90000
93,,5487,88000
94,P30 Pro,4988,88000
95,魅族 16 X,999,88000
96,飞利浦 E171L,168,86000
97,realme X青春版,1199,85000
98,realme X2,1899,86000
99,Redmi K20Pro,2999,83000
100,T3,138,82000
101,飞利浦E517,299,82000
102,L550,168,80000
