title,price,location,sales
【4G全网通】纽曼 M560正品老人机超长待机直板老年手机大屏大字大声音移动联通电信版女学生功能按键小手机,69,广东 深圳,3.0万+人收货
【4G全网通】尼凯恩 EN3正品老人机超长待机三防军工直板老年手机大屏大字大声音移动联通电信版学生按键手机,69,广东 深圳,2.0万+人收货
【限时低至1099元】华为旗下HONOR/荣耀9X麒麟810芯片4800万超清双摄手机官方旗舰店官方旗舰店全新正品,1099,广东 深圳,2.0万+人收货
【1月1号享24期免息】Huawei/华为Mate 30 Pro 5G麒麟990徕卡四摄5G芯片智能手机mate30pro5g官方旗舰店,6399,广东 深圳,1.5万+人收货
vivo Z5x极点全面屏高通骁龙710大电池智能手机官方正品手机新品vivoz5x限量版 z3x,1298,广东 东莞,1.0万+人收货
【6GB立省100】红米note8 4800万四摄拍照游戏学生智能手机redmi全面屏pro小米官方旗舰店正品7xiaomi,999,北京,1.0万+人收货
【8+256G赠耳机】红米k30 索尼6400万大电量120Hz智能游戏学生手机K20升级redmi小米官方旗舰店网正品xiaomi,1699,北京,1.0万+人收货
【4+64G立省50】红米8A 大电量大屏幕智能游戏学生老年人手机小米官方旗舰店官网redmi红米8a正品,699,北京,1.0万+人收货
【1月1号享24期免息】Huawei/华为Mate 30 5G麒麟990超感光徕卡三摄5G智能手机mate305g官方旗舰店,4999,广东 深圳,1.0万+人收货
vivo Z5新品vivoz5限量版智能手机官方正品旗舰店官网屏幕指纹学生新款vivoz5x z3x,1398,广东 东莞,1.0万+人收货
【4+128G直降100】Huawei/华为畅享10 Plus超清全视屏4800万三摄智能手机华为官方旗舰店畅享10plus,1399,广东 深圳,1.0万+人收货
【低至899元】华为旗下HONOR/荣耀8X全面屏手机屏占比高达91%智能学生青春正品官方旗舰店10青春版,1099,广东 深圳,1.0万+人收货
【限时享12期免息】Apple/苹果 iPhone 11 移动联通电信全网通4G 超广角拍照手机苏宁易购官方旗舰店,5999,江苏 南京,1.0万+人收货
【6+128G到手价1399】红米note8pro6400万四摄4500mAh大电量小米手机redmi拍照智能学生小米官方旗舰店xiaomi,1299,北京,1.0万+人收货
【直降200】Huawei/华为nova 5 Pro超级夜景4800万AI四摄超广角智能手机nova5pro华为官方旗舰店,2499,广东 深圳,9000+人收货
全网通4G天语R7移动联通电信版女超薄老人机超长待机正品按键直板老年手机大屏大字大声音天翼功能小学生备用,68.9,广西 桂林,8500+人收货
【1月1日享直降200】Huawei/华为nova 5z 快充AI4800万四摄人像超级夜景128G大内存智能手机华为官方旗舰店,1799,广东 深圳,8500+人收货
【限时低至1699元】华为旗下HONOR/荣耀V20新品全视屏麒麟980处理器4800万AI摄影手机官方旗舰店v30,1699,广东 深圳,8500+人收货
【抢券至高省100】vivo U3x新品vivou3x千元拍照智能手机大电池官方旗舰店官网正品学生老人u1 y93sx27,799,广东 东莞,8000+人收货
【低至2099元】华为旗下HONOR/荣耀20全面屏超广角AI四摄麒麟980芯片智能拍照手机正品PRO手机v30,2199,广东 深圳,8000+人收货
【100优惠券】Huawei/华为 P30全面屏超感光徕卡三摄变焦双景录像980芯片智能手机p30华为官方旗舰店,3388,广东 深圳,8000+人收货
【下单立减100赠耳机】OPPO K5全面屏6400万四摄4G拍照游戏智能手机官方旗舰店正品oppok5 k3 k1,1799,广东 东莞,8000+人收货
VOVG X27超薄水滴全面屏安卓大屏游戏4G全网通智能手机电信学生价,358,广东 深圳,8000+人收货
【最高直降200】Huawei/华为畅享9e全面屏珍珠屏千元智能手机华为正品官方智能手机华为官方旗舰店,699,广东 深圳,7500+人收货
关爱心G1军工三防老人机超长待机正品移动电信版联通4G全网通老年手机大屏大字大声音女学生诺基亚功能小手机,58,广东 深圳,7500+人收货
