index,title,price,location,sales
1,纽曼 M560,69,广东 深圳,30000
2,尼凯恩 EN3,69,广东 深圳,20000
3,Huawei Honor 9,1099,广东 深圳,20000
4,Huawei Mate 30,6399,广东 深圳,15000
5,Vivo Z5,1298,广东 东莞,10000
6,Redmi Note8 4800,999,北京,10000
7,Redmi K30 ,1699,北京,10000
8,Redmi 8,699,北京,10000
9,Huawei Mate 30,4999,广东 深圳,10000
10,Vivo Z5,1398,广东 东莞,10000
11,Huawei 畅享 10,1399,广东 深圳,10000
12,Huawei Honor 8,1099,广东 深圳,10000
13,iPhone iPhone 11 ,5999,江苏 南京,10000
14,Redmi Note 8,1299,北京,10000
15,Huawei Nova 5,2499,广东 深圳,9000
16,天语 R7,68.9,广西 桂林,8500
17,Huawei Nova 5,1799,广东 深圳,8500
18,Huawei Honor 20,1699,广东 深圳,8500
19,Vivo U3,799,广东 东莞,8000
20,Huawei Honor 20,2199,广东 深圳,8000
21,Huawei P30,3388,广东 深圳,8000
22,OPPO K5,1799,广东 东莞,8000
23,VOVG X27,358,广东 深圳,8000
24,Huawei 畅享 9,699,广东 深圳,7500
25,诺基亚,58,广东 深圳,7500
26,iPhone 7,2160,广东 深圳,7500
27,纽曼 l6,59,广东 深圳,7500
28,Redmi K20,2399,北京,7500
29,iPhone 7,1800,广东 深圳,7000
30,Huawei Honor 30,3299,广东 深圳,7000
31,vjvj X21S,368,广东 深圳,7000
32,Huawei P30,3999,广东 深圳,6500
33,OPPO K3,1638,广东 东莞,6000
34,纽曼 L8S,58,广东 深圳,6000
35,YEPEN,49,广东 深圳,6000
36,Huawei Mate 30,1199,广东 深圳,5500
37,通皓轩 H5,39,广东 深圳,5500
38,Vivo iQOO,1998,广东 东莞,5000
39,iPhone 11 ,4749,浙江 杭州,5000
40,Xiaomi CC9,1199,北京,5000
41,iPhone 8,2600,广东 深圳,5000
42,iPhone 7,1650,上海,4969
43,Huawei Honor 20,1699,广东 深圳,4968
44,小辣椒 Q8,99,广东 深圳,2678
45,Xiaomi CC9,1699,北京,2657
46,Xiaomi Note 8,948,广东 深圳,2580
47,iPhone 7,1800,广东 深圳,2511
48,Huawei Honor 9,1099,广东 深圳,2500
49,Huawei Honor 20,1899,江苏 南京,2472
50,iPhone 10,3180,上海,2445
51,iPhone 7,1500,广东 深圳,2427
52,Huawei T20,128,广东 深圳,2378
53,iPhone 8,2650,广东 深圳,2366
54,iPhone 11 ,10899,江苏 南京,2365
55,iPhone 8,1398,广东 深圳,2346
56,iPhone 8,2200,广东 深圳,2332
57,小辣椒 F6,89,广东 深圳,2249
58,Samsung Galaxy S10,1928,广东 深圳,2239
59,纽曼 L660,109,江苏 南京,2219
60,iPhone 10,3300,广东 深圳,2199
61,诺基亚,69,广东 深圳,2198
