,title,price,location,sales
0,纽曼 M560,69.0,广东 深圳,3.0万+人收货
1,尼凯恩 EN3,69.0,广东 深圳,2.0万+人收货
2,华为,1099.0,广东 深圳,2.0万+人收货
3,Huawei,6399.0,广东 深圳,1.5万+人收货
4,vivo Z5x,1298.0,广东 东莞,1.0万+人收货
5,红米note8 4800,999.0,北京,1.0万+人收货
6,红米k30 ,1699.0,北京,1.0万+人收货
7,红米8A ,699.0,北京,1.0万+人收货
8,Huawei,4999.0,广东 深圳,1.0万+人收货
9,vivo Z5,1398.0,广东 东莞,1.0万+人收货
10,Huawei,1399.0,广东 深圳,1.0万+人收货
11,华为,1099.0,广东 深圳,1.0万+人收货
12,苹果 iPhone 11 ,5999.0,江苏 南京,1.0万+人收货
13,红米note8pro6400,1299.0,北京,1.0万+人收货
14,Huawei,2499.0,广东 深圳,9000+人收货
15,天语R7,68.9,广西 桂林,8500+人收货
16,Huawei,1799.0,广东 深圳,8500+人收货
17,华为,1699.0,广东 深圳,8500+人收货
18,vivo U3x,799.0,广东 东莞,8000+人收货
19,华为,2199.0,广东 深圳,8000+人收货
20,Huawei,3388.0,广东 深圳,8000+人收货
21,OPPO K5,1799.0,广东 东莞,8000+人收货
22,VOVG X27,358.0,广东 深圳,8000+人收货
23,Huawei,699.0,广东 深圳,7500+人收货
24,诺基亚,58.0,广东 深圳,7500+人收货
25,苹果 iPhone 7 Plus iPhone7,2160.0,广东 深圳,7500+人收货
26,纽曼 l6,59.0,广东 深圳,7500+人收货
27,红米k20 pro,2399.0,北京,7500+人收货
28,苹果 iPhone 7 Plus,1800.0,广东 深圳,7000+人收货
29,华为,3299.0,广东 深圳,7000+人收货
30,vjvj X21S,368.0,广东 深圳,7000+人收货
31,Huawei,3999.0,广东 深圳,6500+人收货
32,OPPO K3,1638.0,广东 东莞,6000+人收货
33,纽曼 L8S,58.0,广东 深圳,6000+人收货
34,YEPEN,49.0,广东 深圳,6000+人收货
35,华为,1199.0,广东 深圳,5500+人收货
36,通皓轩H5,39.0,广东 深圳,5500+人收货
37,vivo iQOO Neo 855,1998.0,广东 东莞,5000+人收货
38,苹果 Apple iPhone 11 ,4749.0,浙江 杭州,5000+人收货
39,小米CC9e 4800,1199.0,北京,5000+人收货
40,苹果 iPhone 8 Plus ,2600.0,广东 深圳,5000+人收货
41,苹果 iPhone 7 Plus,1650.0,上海,4969人收货
42,华为,1699.0,广东 深圳,4968人收货
44,小辣椒Q8,99.0,广东 深圳,2678人收货
45,小米CC9 4800,1699.0,北京,2657人收货
46,Xiaomi,948.0,广东 深圳,2580人收货
